Date,Calories,Carbohydrates,Fat,Protein,Sodium,Sugar,Weight
2020-1-1,,,,,,,
2020-1-2,,,,,,,
2020-1-3,,,,,,,
2020-1-4,,,,,,,
2020-1-5,,,,,,,
2020-1-6,,,,,,,
2020-1-7,,,,,,,
2020-1-8,,,,,,,
2020-1-9,,,,,,,
2020-1-10,,,,,,,
2020-1-11,,,,,,,
2020-1-12,,,,,,,
2020-1-13,,,,,,,
2020-1-14,,,,,,,
2020-1-15,,,,,,,
2020-1-16,,,,,,,
2020-1-17,,,,,,,
2020-1-18,,,,,,,
2020-1-19,,,,,,,
2020-1-20,,,,,,,
2020-1-21,,,,,,,
2020-1-22,,,,,,,
2020-1-23,,,,,,,
2020-1-24,,,,,,,
2020-1-25,,,,,,,
2020-1-26,,,,,,,
2020-1-27,,,,,,,
2020-1-28,,,,,,,
2020-1-29,,,,,,,
2020-1-30,,,,,,,
2020-1-31,,,,,,,
2020-2-1,,,,,,,
2020-2-2,,,,,,,
2020-2-3,,,,,,,
2020-2-4,,,,,,,
2020-2-5,,,,,,,
2020-2-6,,,,,,,
2020-2-7,,,,,,,
2020-2-8,,,,,,,
2020-2-9,,,,,,,
2020-2-10,,,,,,,
2020-2-11,,,,,,,
2020-2-12,,,,,,,
2020-2-13,,,,,,,
2020-2-14,,,,,,,
2020-2-15,,,,,,,
2020-2-16,,,,,,,
2020-2-17,,,,,,,
2020-2-18,,,,,,,
2020-2-19,,,,,,,
2020-2-20,,,,,,,
2020-2-21,,,,,,,
2020-2-22,,,,,,,
2020-2-23,,,,,,,
2020-2-24,,,,,,,
2020-2-25,,,,,,,
2020-2-26,,,,,,,
2020-2-27,,,,,,,
2020-2-28,,,,,,,
2020-3-1,,,,,,,
2020-3-2,,,,,,,
2020-3-3,,,,,,,
2020-3-4,,,,,,,
2020-3-5,,,,,,,
2020-3-6,,,,,,,
2020-3-7,,,,,,,
2020-3-8,,,,,,,
2020-3-9,,,,,,,
2020-3-10,,,,,,,
2020-3-11,,,,,,,
2020-3-12,,,,,,,
2020-3-13,,,,,,,
2020-3-14,,,,,,,
2020-3-15,,,,,,,
2020-3-16,,,,,,,
2020-3-17,,,,,,,
2020-3-18,,,,,,,
2020-3-19,,,,,,,
2020-3-20,,,,,,,
2020-3-21,,,,,,,
2020-3-22,,,,,,,
2020-3-23,,,,,,,
2020-3-24,,,,,,,
2020-3-25,,,,,,,
2020-3-26,,,,,,,
2020-3-27,,,,,,,
2020-3-28,,,,,,,
2020-3-29,,,,,,,
2020-3-30,,,,,,,
2020-3-31,,,,,,,
2020-4-1,,,,,,,
2020-4-2,,,,,,,
2020-4-3,,,,,,,
2020-4-4,,,,,,,
2020-4-5,,,,,,,
2020-4-6,,,,,,,
2020-4-7,,,,,,,
2020-4-8,,,,,,,
2020-4-9,,,,,,,
2020-4-10,,,,,,,
2020-4-11,,,,,,,
2020-4-12,,,,,,,
2020-4-13,,,,,,,
2020-4-14,,,,,,,
2020-4-15,,,,,,,
2020-4-16,,,,,,,
2020-4-17,,,,,,,
2020-4-18,,,,,,,
2020-4-19,,,,,,,
2020-4-20,,,,,,,
2020-4-21,,,,,,,
2020-4-22,,,,,,,
2020-4-23,,,,,,,
2020-4-24,,,,,,,
2020-4-25,,,,,,,
2020-4-26,,,,,,,
2020-4-27,,,,,,,
2020-4-28,,,,,,,
2020-4-29,,,,,,,
2020-4-30,,,,,,,
2020-5-1,,,,,,,
2020-5-2,,,,,,,
2020-5-3,,,,,,,
2020-5-4,,,,,,,
2020-5-5,,,,,,,
2020-5-6,,,,,,,
2020-5-7,,,,,,,
2020-5-8,,,,,,,
2020-5-9,,,,,,,
2020-5-10,,,,,,,
2020-5-11,,,,,,,
2020-5-12,,,,,,,
2020-5-13,,,,,,,
2020-5-14,,,,,,,
2020-5-15,,,,,,,
2020-5-16,,,,,,,
2020-5-17,,,,,,,
2020-5-18,,,,,,,
2020-5-19,,,,,,,
2020-5-20,,,,,,,
2020-5-21,,,,,,,
2020-5-22,,,,,,,
2020-5-23,,,,,,,
2020-5-24,,,,,,,
2020-5-25,,,,,,,
2020-5-26,,,,,,,
2020-5-27,,,,,,,
2020-5-28,,,,,,,
2020-5-29,,,,,,,
2020-5-30,,,,,,,
2020-5-31,,,,,,,
2020-6-1,,,,,,,
2020-6-2,,,,,,,
2020-6-3,,,,,,,
2020-6-4,,,,,,,
2020-6-5,,,,,,,
2020-6-6,,,,,,,
2020-6-7,,,,,,,
2020-6-8,,,,,,,
2020-6-9,,,,,,,
2020-6-10,,,,,,,
2020-6-11,,,,,,,
2020-6-12,,,,,,,
2020-6-13,,,,,,,
2020-6-14,,,,,,,
2020-6-15,,,,,,,
2020-6-16,,,,,,,
2020-6-17,,,,,,,
2020-6-18,,,,,,,
2020-6-19,,,,,,,
2020-6-20,,,,,,,
2020-6-21,,,,,,,
2020-6-22,,,,,,,
2020-6-23,,,,,,,
2020-6-24,,,,,,,
2020-6-25,,,,,,,
2020-6-26,,,,,,,
2020-6-27,,,,,,,
2020-6-28,,,,,,,
2020-6-29,,,,,,,
2020-6-30,,,,,,,
2020-7-1,,,,,,,
2020-7-2,,,,,,,
2020-7-3,,,,,,,
2020-7-4,,,,,,,
2020-7-5,,,,,,,
2020-7-6,,,,,,,
2020-7-7,,,,,,,
2020-7-8,,,,,,,
2020-7-9,,,,,,,
2020-7-10,,,,,,,
2020-7-11,,,,,,,
2020-7-12,,,,,,,
2020-7-13,,,,,,,
2020-7-14,,,,,,,
2020-7-15,,,,,,,
2020-7-16,,,,,,,
2020-7-17,,,,,,,
2020-7-18,,,,,,,
2020-7-19,,,,,,,
2020-7-20,,,,,,,
2020-7-21,,,,,,,
2020-7-22,,,,,,,
2020-7-23,,,,,,,
2020-7-24,,,,,,,
2020-7-25,,,,,,,
2020-7-26,,,,,,,
2020-7-27,,,,,,,
2020-7-28,,,,,,,
2020-7-29,,,,,,,
2020-7-30,,,,,,,
2020-7-31,,,,,,,
2020-8-1,,,,,,,
2020-8-2,,,,,,,
2020-8-3,,,,,,,
2020-8-4,,,,,,,
2020-8-5,,,,,,,
2020-8-6,,,,,,,
2020-8-7,,,,,,,
2020-8-8,,,,,,,
2020-8-9,,,,,,,
2020-8-10,,,,,,,
2020-8-11,,,,,,,
2020-8-12,,,,,,,
2020-8-13,,,,,,,
2020-8-14,,,,,,,
2020-8-15,,,,,,,
2020-8-16,2841.0,222.0,102.0,188.0,1211.0,56.0,178.4
2020-8-17,2935.0,290.0,109.0,195.0,1395.0,33.0,178.4
2020-8-18,2438.0,205.0,105.0,170.0,1458.0,43.0,177.4
2020-8-19,2550.0,162.0,130.0,181.0,2347.0,42.0,176.0
2020-8-20,2882.0,255.0,121.0,181.0,3663.0,40.0,176.6
2020-8-21,2453.0,210.0,89.0,211.0,1195.0,98.0,176.5
2020-8-22,3584.0,438.0,137.0,160.0,4753.0,135.0,
2020-8-23,2422.0,213.0,105.0,178.0,1835.0,74.0,176.4
2020-8-24,2222.0,165.0,111.0,146.0,3915.0,45.0,176.2
2020-8-25,2520.0,265.0,86.0,178.0,1635.0,37.0,174.4
2020-8-26,,,,,,,174.1
2020-8-27,2398.0,210.0,116.0,139.0,1356.0,40.0,175.8
2020-8-28,2465.0,158.0,117.0,202.0,2312.0,51.0,175.8
2020-8-29,1318.0,162.0,33.0,95.0,1162.0,62.0,177.6
